"id","country_id:id","name","code"
state_br_ac,br,"Acre","AC"
state_br_al,br,"Alagoas","AL"
state_br_ap,br,"Amapá","AP"
state_br_am,br,"Amazonas","AM"
state_br_ba,br,"Bahia","BA"
state_br_ce,br,"Ceará","CE"
state_br_df,br,"Distrito Federal","DF"
state_br_es,br,"Espírito Santo","ES"
state_br_go,br,"Goiás","GO"
state_br_ma,br,"Maranhão","MA"
state_br_mt,br,"Mato Grosso","MT"
state_br_ms,br,"Mato Grosso do Sul","MS"
state_br_mg,br,"Minas Gerais","MG"
state_br_pa,br,"Pará","PA"
state_br_pb,br,"Paraíba","PB"
state_br_pr,br,"Paraná","PR"
state_br_pe,br,"Pernambuco","PE"
state_br_pi,br,"Piauí","PI"
state_br_rj,br,"Rio de Janeiro","RJ"
state_br_rn,br,"Rio Grande do Norte","RN"
state_br_rs,br,"Rio Grande do Sul","RS"
state_br_ro,br,"Rondônia","RO"
state_br_rr,br,"Roraima","RR"
state_br_sc,br,"Santa Catarina","SC"
state_br_sp,br,"São Paulo","SP"
state_br_se,br,"Sergipe","SE"
state_br_to,br,"Tocantins","TO"
